                                                             THRESHOLD=48 MAX_P=12
    Finished CPU 0 instructions: 145000000 cycles: 214006103 cumulative IPC: 0.67755 (Simulation time: 0 hr 31 min 10 sec)
        Core_0_L2C_total_access 14576336
        Core_0_L2C_total_hit 11961438
        Core_0_L2C_total_miss 2614898
        Core_0_L2C_loads 6199448
        Core_0_L2C_load_hit 4661276
        Core_0_L2C_load_miss 1538172
        Core_0_L2C_RFOs 656657
        Core_0_L2C_RFO_hit 479767
        Core_0_L2C_RFO_miss 176890
        Core_0_L2C_prefetches 6559762
        Core_0_L2C_prefetch_hit 5659951
        Core_0_L2C_prefetch_miss 899811
        Core_0_L2C_writebacks 1160469
        Core_0_L2C_writeback_hit 1160444
        Core_0_L2C_writeback_miss 25
        Core_0_L2C_prefetch_requested 13946181
        Core_0_L2C_prefetch_issued 8100051
        Core_0_L2C_prefetch_useful 361991
        Core_0_L2C_prefetch_useless 540066
        Core_0_L2C_prefetch_late 86011
        Core_0_L2C_average_miss_latency 282.02415

[1mChampSim is successfully built
Branch Predictor: perceptron
L1D Prefetcher: no
L2C Prefetcher: deltaMarkov_NxtLine_NxtNxtLine
LLC Prefetcher: no
LLC Replacement: lru
Cores: 1
Binary: bin/perceptron-no-deltaMarkov_NxtLine_NxtNxtLine-no-lru-1core

*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Jul 31 2024 07:27:23
*************************************************

trace_0 ./LLM_Traces/2B_Traces_SelfAttention_Phythia-70M-Seq1024-07-08-0125.champsim.xz
CPU 0 L2C next line prefetcher initialized
warmup_instructions 2000000
simulation_instructions 145000000
champsim_seed 200

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 512
l2c_set 1024
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 16
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000001 cycles:     455385 heartbeat IPC: 2.19595 cumulative IPC: 2.19595 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:    1026612 heartbeat IPC: 1.75062 cumulative IPC: 1.94816 (Simulation time: 0 hr 0 min 17 sec) 

Warmup complete CPU  0 instructions:    2000002 cycles:    1026613 (Simulation time: 0 hr 0 min 17 sec) 

Heartbeat CPU  0 instructions:    3000001 cycles:    2211221 heartbeat IPC: 0.84416 cumulative IPC: 0.84416 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    3448024 heartbeat IPC: 0.80854 cumulative IPC: 0.82596 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    4677602 heartbeat IPC: 0.81329 cumulative IPC: 0.82170 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    5912775 heartbeat IPC: 0.80960 cumulative IPC: 0.81864 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    7150158 heartbeat IPC: 0.80815 cumulative IPC: 0.81652 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    8393332 heartbeat IPC: 0.80439 cumulative IPC: 0.81447 (Simulation time: 0 hr 1 min 22 sec) 
Heartbeat CPU  0 instructions:    9000003 cycles:    9641468 heartbeat IPC: 0.80120 cumulative IPC: 0.81255 (Simulation time: 0 hr 1 min 33 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:   10886329 heartbeat IPC: 0.80330 cumulative IPC: 0.81138 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:   12115388 heartbeat IPC: 0.81363 cumulative IPC: 0.81163 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:   13366244 heartbeat IPC: 0.79945 cumulative IPC: 0.81040 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:   14613102 heartbeat IPC: 0.80202 cumulative IPC: 0.80963 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:   15841323 heartbeat IPC: 0.81419 cumulative IPC: 0.81001 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:   17082907 heartbeat IPC: 0.80542 cumulative IPC: 0.80965 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   18331054 heartbeat IPC: 0.80119 cumulative IPC: 0.80904 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:   17000002 cycles:   19581524 heartbeat IPC: 0.79970 cumulative IPC: 0.80841 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:   20854804 heartbeat IPC: 0.78537 cumulative IPC: 0.80693 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:   22098603 heartbeat IPC: 0.80399 cumulative IPC: 0.80676 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   23355731 heartbeat IPC: 0.79546 cumulative IPC: 0.80612 (Simulation time: 0 hr 3 min 46 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:   24600727 heartbeat IPC: 0.80322 cumulative IPC: 0.80597 (Simulation time: 0 hr 3 min 58 sec) 
Heartbeat CPU  0 instructions:   22000003 cycles:   25862887 heartbeat IPC: 0.79229 cumulative IPC: 0.80527 (Simulation time: 0 hr 4 min 11 sec) 
Heartbeat CPU  0 instructions:   23000002 cycles:   27093270 heartbeat IPC: 0.81275 cumulative IPC: 0.80563 (Simulation time: 0 hr 4 min 23 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   28338955 heartbeat IPC: 0.80277 cumulative IPC: 0.80550 (Simulation time: 0 hr 4 min 36 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   29456210 heartbeat IPC: 0.89505 cumulative IPC: 0.80902 (Simulation time: 0 hr 4 min 45 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   30744444 heartbeat IPC: 0.77626 cumulative IPC: 0.80760 (Simulation time: 0 hr 5 min 0 sec) 
Heartbeat CPU  0 instructions:   27000003 cycles:   31984309 heartbeat IPC: 0.80654 cumulative IPC: 0.80755 (Simulation time: 0 hr 5 min 17 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   33231219 heartbeat IPC: 0.80198 cumulative IPC: 0.80734 (Simulation time: 0 hr 5 min 31 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   34485050 heartbeat IPC: 0.79756 cumulative IPC: 0.80697 (Simulation time: 0 hr 5 min 45 sec) 
Heartbeat CPU  0 instructions:   30000001 cycles:   35754380 heartbeat IPC: 0.78782 cumulative IPC: 0.80627 (Simulation time: 0 hr 5 min 57 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   37012578 heartbeat IPC: 0.79479 cumulative IPC: 0.80587 (Simulation time: 0 hr 6 min 10 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   38242616 heartbeat IPC: 0.81298 cumulative IPC: 0.80610 (Simulation time: 0 hr 6 min 23 sec) 
Heartbeat CPU  0 instructions:   33000001 cycles:   39501988 heartbeat IPC: 0.79405 cumulative IPC: 0.80571 (Simulation time: 0 hr 6 min 36 sec) 
Heartbeat CPU  0 instructions:   34000002 cycles:   40770751 heartbeat IPC: 0.78817 cumulative IPC: 0.80515 (Simulation time: 0 hr 6 min 49 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   42046419 heartbeat IPC: 0.78390 cumulative IPC: 0.80449 (Simulation time: 0 hr 7 min 1 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   43294797 heartbeat IPC: 0.80104 cumulative IPC: 0.80439 (Simulation time: 0 hr 7 min 15 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   44530476 heartbeat IPC: 0.80927 cumulative IPC: 0.80453 (Simulation time: 0 hr 7 min 28 sec) 
Heartbeat CPU  0 instructions:   38000003 cycles:   45782163 heartbeat IPC: 0.79892 cumulative IPC: 0.80437 (Simulation time: 0 hr 7 min 41 sec) 
Heartbeat CPU  0 instructions:   39000003 cycles:   47019762 heartbeat IPC: 0.80802 cumulative IPC: 0.80447 (Simulation time: 0 hr 7 min 54 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   48282780 heartbeat IPC: 0.79175 cumulative IPC: 0.80413 (Simulation time: 0 hr 8 min 7 sec) 
Heartbeat CPU  0 instructions:   41000002 cycles:   49576881 heartbeat IPC: 0.77274 cumulative IPC: 0.80329 (Simulation time: 0 hr 8 min 21 sec) 
