Prefix,Prefetcher_Type,Table_Size,Min_Thresh,Max_Thresh,AVG_IPC,L2_Pf_HR,L2_HR
035,IPMarkovDelta,256.0,4,32,0.68973,0.94927,0.90779
035,IPMarkovDelta,2048.0,64,128,0.54922,0.84655,0.82378
035,IPMarkovDelta,64.0,0,64,0.69567,0.93526,0.87784
041,DeltaMarkovDelta,,0,8,0.69614,0.89354,0.85536
041,DeltaMarkovDelta,64.0,0,8,0.6616,0.84146,0.78729
041,DeltaMarkovDelta,128.0,0,64,0.67489,0.89128,0.82402
035,IPMarkovDelta,2048.0,4,128,0.66537,0.8582,0.8483
041,DeltaMarkovDelta,16.0,4,8,0.65217,0.79405,0.76979
035,IPMarkovDelta,128.0,4,32,0.68594,0.95297,0.89981
035,IPMarkovDelta,2048.0,8,16,0.70798,0.90726,0.89106
035,IPMarkovDelta,256.0,0,4,0.72331,0.93769,0.90283
045,IPDeltaMarkovDelta,,0,512,0.67054,0.86101,0.82149
035,IPMarkovDelta,2048.0,0,16,0.76595,0.91959,0.91197
035,IPMarkovDelta,32.0,64,128,0.61207,0.88738,0.82213
041,DeltaMarkovDelta,,0,32,0.69514,0.9107,0.86789
043,IPDeltaMarkovDelta,,512,2048,0.60251,0.76841,0.7532
041,DeltaMarkovDelta,32.0,8,16,0.66686,0.8529,0.80168
045,IPDeltaMarkovDelta,,0,4,0.66551,0.88828,0.8085
035,IPMarkovDelta,16.0,0,32,0.66244,0.91094,0.81834
035,IPMarkovDelta,32.0,4,32,0.67857,0.93459,0.85619
035,IPMarkovDelta,256.0,0,32,0.7105,0.94817,0.91343
041,DeltaMarkovDelta,128.0,8,32,0.674,0.89619,0.83393
043,IPDeltaMarkovDelta,,128,2048,0.60929,0.73828,0.74196
035,IPMarkovDelta,64.0,32,64,0.60132,0.92818,0.85215
041,DeltaMarkovDelta,256.0,4,8,0.67347,0.87677,0.81531
041,DeltaMarkovDelta,64.0,0,4,0.65465,0.82928,0.78184
041,DeltaMarkovDelta,16.0,4,16,0.65544,0.81622,0.77454
035,IPMarkovDelta,64.0,0,4,0.70103,0.92841,0.86837
041,DeltaMarkovDelta,,8,16,0.67924,0.90863,0.86456
035,IPMarkovDelta,128.0,8,16,0.68291,0.95055,0.89223
